speaker,discourse,gender,yob,phone_id,phone,syllable,word,transcription,phone_begin,phone_end
98601,98601_f4_int4_2010_09_14_comm,male,1949,71727d3e-55eb-11f0-b0b1-16386fa09120,ɔ̃,s.j.ɔ̃,proposition,p.ʁ.ɔ.p.o.z.i.s.j.ɔ̃,68.74,68.81
42171,42171_f8_int8_2022_03_29_CH_0-1711,male,1970,700aef08-55eb-11f0-b0b1-16386fa09120,ɔ̃,s.j.ɔ̃,d'habitation,d.a.b.i.t.a.s.j.ɔ̃,53.51,53.65
98601,98601_f4_int4_2010_09_14_comm,male,1949,71725a84-55eb-11f0-b0b1-16386fa09120,ɔ̃,k.ɔ̃.s,circonscription,s.i.ʁ.k.ɔ̃.s.k.ʁ.i.p.s.j.ɔ̃,43.77,43.87
42171,42171_f7_int7_2022_03_29_CH_0-1711,male,1970,6fb20302-55eb-11f0-b0b1-16386fa09120,ɔ̃,s.j.ɔ̃,construction,k.ɔ̃.s.t.ʁ.y.k.s.j.ɔ̃,82.85,82.94
14401,14401_f4_int5_2022_03_29_assnat_174837,female,1985,6df51fea-55eb-11f0-b0b1-16386fa09120,ə,d.ə,de,d.ə,31.66,31.71
14401,14401_f6_int7_2022_03_29_assnat_174837,female,1985,6e3ca31a-55eb-11f0-b0b1-16386fa09120,ə,p.ʁ.ə,prenez,p.ʁ.ə.n.e,19.81,19.87
52013,52013_f1_int1_2021_03_31_CH_0-1652,female,1966,710b30e8-55eb-11f0-b0b1-16386fa09120,ə,d.ə,de,d.ə,74.57,74.64
67823,67823_f3_int4_20230328_CH_101231,female,1976,6ecb063c-55eb-11f0-b0b1-16386fa09120,ə,ʁ.ə,recruter,ʁ.ə.k.ʁ.y.t.e,59.68,59.77
67823,67823_f6_int7_20230328_CH_101231,female,1976,6f355b68-55eb-11f0-b0b1-16386fa09120,ə,d.ə,de,d.ə,16.07,16.13
41440,41440_f1_int2_20221206_CH_152702,male,1958,706c2a2a-55eb-11f0-b0b1-16386fa09120,ə,ʒ.ə,je,ʒ.ə,42.98,43.08
98601,98601_f1_int1_2010_09_14_comm,male,1949,71a3d078-55eb-11f0-b0b1-16386fa09120,ə,t.ə,tenu,t.ə.n.y,2.24,2.31
41440,41440_f5_int7_20221206_CH_152702,male,1958,70836852-55eb-11f0-b0b1-16386fa09120,ə,ʁ.ə,ressources,ʁ.ə.s.u.ʁ.s,28.13,28.2
42171,42171_f4_int4_2022_03_29_CH_0-1711,male,1970,6fdca4d6-55eb-11f0-b0b1-16386fa09120,ə,k.ə,que,k.ə,46.84,46.96
98601,98601_f3_int3_2010_09_14_comm,male,1949,71ffe1c4-55eb-11f0-b0b1-16386fa09120,ə,d.ə,de,d.ə,48.65,48.74
67823,67823_f1_int2_20230328_CH_101231,female,1976,6f0a47ac-55eb-11f0-b0b1-16386fa09120,ɛ,f.ʁ.ɛ,frais,f.ʁ.ɛ,71.46,71.52
52013,52013_f1_int1_2021_03_31_CH_0-1652,female,1966,710b51cc-55eb-11f0-b0b1-16386fa09120,ɛ,v.ɛ,devait,d.ə.v.ɛ,96.47,96.84
67823,67823_f4_int5_20230328_CH_101231,female,1976,6f1ff5c0-55eb-11f0-b0b1-16386fa09120,ɛ,f.ɛ,effet,e.f.ɛ,47.83,47.91
52013,52013_f4_int4_2021_03_31_CH_0-1652,female,1966,70b07a22-55eb-11f0-b0b1-16386fa09120,ɛ,b.ɛ.k,québec,c.e.b.ɛ.k,69.41,69.57
67823,67823_f1_int2_20230328_CH_101231,female,1976,6f0a5e5e-55eb-11f0-b0b1-16386fa09120,ɛ,f.ʁ.ɛ,frais,f.ʁ.ɛ,87.03,87.09
98601,98601_f5_int5_2010_09_14_comm,male,1949,715d21b4-55eb-11f0-b0b1-16386fa09120,ɛ,n.ɛ,n'est,n.ɛ,26.49,26.69
42171,42171_f1_int1_2022_03_29_CH_0-1711,male,1970,6f6556ba-55eb-11f0-b0b1-16386fa09120,ɛ,m.ɛ,mais,m.ɛ,63.52,63.62
42171,42171_f1_int1_2022_03_29_CH_0-1711,male,1970,6f656bb4-55eb-11f0-b0b1-16386fa09120,ɛ,s.j.ɛ,souciait,s.u.s.j.ɛ,83.32,83.41
98601,98601_f2_int2_2010_09_14_comm,male,1949,71e86a76-55eb-11f0-b0b1-16386fa09120,ɛ,ʁ.ɛ,auraient,o.ʁ.ɛ,11.38,11.44
42171,42171_f1_int1_2022_03_29_CH_0-1711,male,1970,6f6542d8-55eb-11f0-b0b1-16386fa09120,ɛ,ɛ,budget,b.y.dʒ.ɛ,37.15,37.43
67823,67823_f4_int5_20230328_CH_101231,female,1976,6f20225c-55eb-11f0-b0b1-16386fa09120,ɛ̃,s.ɛ̃,bassins,b.a.s.ɛ̃,78.44,78.53
67823,67823_f2_int3_20230328_CH_101231,female,1976,6ee8db08-55eb-11f0-b0b1-16386fa09120,ɛ̃,ɛ̃,ainsi,ɛ̃.s.i,44.7,44.83
67823,67823_f3_int4_20230328_CH_101231,female,1976,6ecab45c-55eb-11f0-b0b1-16386fa09120,ɛ̃,v.ɛ̃.t,vingt,v.ɛ̃.t,5.28,5.37
67823,67823_f2_int3_20230328_CH_101231,female,1976,6ee903b2-55eb-11f0-b0b1-16386fa09120,ɛ̃,v.ɛ̃.t,vingt,v.ɛ̃.t,72.4,72.49
67823,67823_f1_int2_20230328_CH_101231,female,1976,6f0a2600-55eb-11f0-b0b1-16386fa09120,ɛ̃,v.ɛ̃.t,vingt,v.ɛ̃.t,45.09,45.18
98601,98601_f8_int8_2010_09_14_comm,male,1949,71bfed9e-55eb-11f0-b0b1-16386fa09120,ɛ̃,v.ɛ̃,provinciale,p.ʁ.ɔ.v.ɛ̃.s.j.a.l,30.63,30.73
42171,42171_f4_int4_2022_03_29_CH_0-1711,male,1970,6fdcc3da-55eb-11f0-b0b1-16386fa09120,ɛ̃,v.ɛ̃,vingt,v.ɛ̃,76.25,76.39
41440,41440_f5_int7_20221206_CH_152702,male,1958,70837fe0-55eb-11f0-b0b1-16386fa09120,ɛ̃,ʃ.ɛ̃,prochains,p.ʁ.ɔ.ʃ.ɛ̃,47.31,47.44
42171,42171_f1_int1_2022_03_29_CH_0-1711,male,1970,6f655020-55eb-11f0-b0b1-16386fa09120,ɛ̃,b.j.ɛ̃,bien,b.j.ɛ̃,55.74,55.89
42171,42171_f6_int6_2022_03_29_CH_0-1711,male,1970,6fc72f52-55eb-11f0-b0b1-16386fa09120,ɛ̃,ɛ̃,ainsi,ɛ̃.s.i,41.68,41.87
14401,14401_f5_int6_2022_03_29_assnat_174837,female,1985,6e827c64-55eb-11f0-b0b1-16386fa09120,ɜ,ʃ.ɜ.z,chaise,ʃ.ɜ.z,41.95,42.08
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7c23a-55eb-11f0-b0b1-16386fa09120,ɜ,p.ʁ.ɜ.s,presse,p.ʁ.ɜ.s,4.89,5.2
14401,14401_f3_int4_2022_03_29_assnat_174837,female,1985,6e60d5e6-55eb-11f0-b0b1-16386fa09120,ɜ,t.ɜ.ʁ,ministère,m.i.ɲ.i.s.t.ɜ.ʁ,82.95,83.15
14401,14401_f5_int6_2022_03_29_assnat_174837,female,1985,6e82acb6-55eb-11f0-b0b1-16386fa09120,ɜ,f.ɜ.ʁ,faire,f.ɜ.ʁ,84.16,84.31
52013,52013_f3_int3_2021_03_31_CH_0-1652,female,1966,70dce828-55eb-11f0-b0b1-16386fa09120,ɜ,ɜ.t,être,ɜ.t,86.22,86.35
98601,98601_f10_int11_2010_09_14_comm,male,1949,718908ba-55eb-11f0-b0b1-16386fa09120,ɜ,f.ɜ.ʁ,faire,f.ɜ.ʁ,65.66,65.79
42171,42171_f5_int5_2022_03_29_CH_0-1711,male,1970,6ff39326-55eb-11f0-b0b1-16386fa09120,ɜ,ɜ.d,aide,ɜ.d,26.91,27.12
