speaker,discourse,gender,yob,phone_id,phone,syllable,word,transcription,phone_begin,phone_end
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c73b04-55eb-11f0-b0b1-16386fa09120,u,ʒ.u.ʁ,bonjour,b.ɔ̃.ʒ.u.ʁ,54.16,54.23
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c6e064-55eb-11f0-b0b1-16386fa09120,ɑ,l.ɑ,là,l.ɑ,8.23,8.29
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c725a6-55eb-11f0-b0b1-16386fa09120,ɔ,d.ɔ,dollars,d.ɔ.l.ɑ.ʁ,35.72,35.79
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c759ea-55eb-11f0-b0b1-16386fa09120,y,b.y.dʒ,budget,b.y.dʒ.ɛ,77.1,77.18
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c75ae4-55eb-11f0-b0b1-16386fa09120,ɔ̃,l.ɔ̃,long,l.ɔ̃,78.65,78.78
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c6ddd0-55eb-11f0-b0b1-16386fa09120,a,ʁ.a,durabilité,d.y.ʁ.a.b.i.ʎ.i.t.e,6.22,6.29
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c74748-55eb-11f0-b0b1-16386fa09120,ɔ,n.ɔ.t.ʁ,notre,n.ɔ.t.ʁ,66.35,66.4
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c729a2-55eb-11f0-b0b1-16386fa09120,œ,œ,euh,œ,39.19,39.37
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c6d8a8-55eb-11f0-b0b1-16386fa09120,i,m.i,pandémie,p.ɑ̃.d.e.m.i,1.58,1.68
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c72a1a-55eb-11f0-b0b1-16386fa09120,e,e,été,e.t.e,39.7,39.77
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c74702-55eb-11f0-b0b1-16386fa09120,e,t.e,s'ajouter,s.a.ʒ.u.t.e,66.14,66.21
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c7443c-55eb-11f0-b0b1-16386fa09120,ɛ̃,v.ɛ̃.t,vingt,v.ɛ̃.t,63.35,63.44
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c712f0-55eb-11f0-b0b1-16386fa09120,a,n.a,destination,d.ɛ.s.t.i.n.a.s.j.ɔ̃,20.53,20.64
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c6e2da-55eb-11f0-b0b1-16386fa09120,a,a,à,a,10.05,10.16
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c731ea-55eb-11f0-b0b1-16386fa09120,o,o.t.ʁ,autre,o.t.ʁ,48.49,48.64
52013,52013_f6_int6_2021_03_31_CH_0-1652,female,1966,70c7558a-55eb-11f0-b0b1-16386fa09120,ɔ,n.ɔ,novembre,n.ɔ.v.ɑ̃.b.ʁ,74.27,74.35
